valid_time,number,expver,e,e_mm
1960-03-01 06:00:00,0,0001,-0.0029143056153599477,90.34347407615837
1960-04-01 06:00:00,0,0001,-0.0017206114567064207,51.61834370119262
1960-05-01 06:00:00,0,0001,-0.0008680247350098082,26.908766785304056
1960-06-01 06:00:00,0,0001,-0.0006188142337344266,18.564427012032798
1960-07-01 06:00:00,0,0001,-0.0005901914384622928,18.29593459233108
1960-08-01 06:00:00,0,0001,-0.0011681513817088404,36.21269283297406
1960-09-01 06:00:00,0,0001,-0.001500995925506279,45.02987776518837
1960-10-01 06:00:00,0,0001,-0.0019691425458965507,61.04341892279307
1960-11-01 06:00:00,0,0001,-0.002654816928212994,79.64450784638981
1960-12-01 06:00:00,0,0001,-0.0034930528738950244,108.28463909074576
1961-01-01 06:00:00,0,0001,-0.0034188313307414635,105.98377125298538
1961-02-01 06:00:00,0,0001,-0.0037037011873920565,103.70363324697757
1961-03-01 06:00:00,0,0001,-0.0031971084382112058,99.11036158454738
1961-04-01 06:00:00,0,0001,-0.0019578880828650083,58.73664248595025
1961-05-01 06:00:00,0,0001,-0.0009217037415390952,28.572815987711948
1961-06-01 06:00:00,0,0001,-0.0006390953426830808,19.172860280492426
1961-07-01 06:00:00,0,0001,-0.000553295608722849,17.15216387040832
1961-08-01 06:00:00,0,0001,-0.0006387705396031413,19.801886727697383
1961-09-01 06:00:00,0,0001,-0.0011146310650055054,33.43893195016516
1961-10-01 06:00:00,0,0001,-0.0016284875944877167,50.48311542911922
1961-11-01 06:00:00,0,0001,-0.0028902798883155526,86.70839664946656
1961-12-01 06:00:00,0,0001,-0.0031672122825776193,98.1835807599062
1962-01-01 06:00:00,0,0001,-0.0038120560987350087,118.17373906078527
1962-02-01 06:00:00,0,0001,-0.0035655636505755577,99.8357822161156
1962-03-01 06:00:00,0,0001,-0.0031434592174489333,97.44723574091694
1962-04-01 06:00:00,0,0001,-0.0023066282024228673,69.19884607268602
1962-05-01 06:00:00,0,0001,-0.0009069698046372209,28.116063943753847
1962-06-01 06:00:00,0,0001,-0.0005239323046423147,15.717969139269442
1962-07-01 06:00:00,0,0001,-0.0004968417830665193,15.402095275062099
1962-08-01 06:00:00,0,0001,-0.000600490668370146,18.615210719474526
1962-09-01 06:00:00,0,0001,-0.0010473460659519626,31.420381978558876
1962-10-01 06:00:00,0,0001,-0.001456316515323892,45.14581197504065
1962-11-01 06:00:00,0,0001,-0.0022985312381902587,68.95593714570776
1962-12-01 06:00:00,0,0001,-0.0030080471367366457,93.249461238836
1963-01-01 06:00:00,0,0001,-0.0033481893607768334,103.79387018408184
1963-02-01 06:00:00,0,0001,-0.0034420795261225325,96.37822673143091
1963-03-01 06:00:00,0,0001,-0.003346025356812573,103.72678606118976
1963-04-01 06:00:00,0,0001,-0.002535646200546859,76.06938601640577
1963-05-01 06:00:00,0,0001,-0.0013713862043815775,42.512972335828906
1963-06-01 06:00:00,0,0001,-0.0006958012149672705,20.874036449018114
1963-07-01 06:00:00,0,0001,-0.0005293181580632489,16.408862899960717
1963-08-01 06:00:00,0,0001,-0.0006335395803578803,19.63972699109429
1963-09-01 06:00:00,0,0001,-0.0011738102060940767,35.2143061828223
1963-10-01 06:00:00,0,0001,-0.0018808550084114264,58.30650526075422
1963-11-01 06:00:00,0,0001,-0.0016956785745470438,50.87035723641131
1963-12-01 06:00:00,0,0001,-0.0030973605559477227,96.01817723437941
1964-01-01 06:00:00,0,0001,-0.0036016936412541036,111.65250287887721
1964-02-01 06:00:00,0,0001,-0.0034931886879374864,101.3024719501871
1964-03-01 06:00:00,0,0001,-0.0031101409854020243,96.41437054746275
1964-04-01 06:00:00,0,0001,-0.0020484430794496145,61.45329238348844
1964-05-01 06:00:00,0,0001,-0.0007874894870855808,24.412174099653004
1964-06-01 06:00:00,0,0001,-0.0005156144306622787,15.468432919868361
1964-07-01 06:00:00,0,0001,-0.00048334273808757386,14.98362488071479
1964-08-01 06:00:00,0,0001,-0.0007020192052708176,21.762595363395345
1964-09-01 06:00:00,0,0001,-0.0009384099792358822,28.152299377076467
1964-10-01 06:00:00,0,0001,-0.0011228027231187463,34.806884416681136
1964-11-01 06:00:00,0,0001,-0.0017397293473086495,52.19188041925948
1964-12-01 06:00:00,0,0001,-0.00251364924351935,77.92312654909985
1965-01-01 06:00:00,0,0001,-0.0031204371907309985,96.73355291266094
1965-02-01 06:00:00,0,0001,-0.0036233807452106075,101.45466086589701
1965-03-01 06:00:00,0,0001,-0.003008425037077491,93.26117614940223
1965-04-01 06:00:00,0,0001,-0.0018698257518861125,56.09477255658338
1965-05-01 06:00:00,0,0001,-0.0006756157743881711,20.944089006033302
1965-06-01 06:00:00,0,0001,-0.0005919776475597016,17.75932942679105
1965-07-01 06:00:00,0,0001,-0.00044727443751903874,13.865507563090201
1965-08-01 06:00:00,0,0001,-0.0005509501187906564,17.079453682510348
1965-09-01 06:00:00,0,0001,-0.0016990386057690507,50.97115817307152
1965-10-01 06:00:00,0,0001,-0.0011913430585234418,36.9316348142267
1965-11-01 06:00:00,0,0001,-0.00176922348877619,53.076704663285696
1965-12-01 06:00:00,0,0001,-0.003305781688365445,102.4792323393288
1966-01-01 06:00:00,0,0001,-0.0036252844229452217,112.38381711130187
1966-02-01 06:00:00,0,0001,-0.0035645539958863086,99.80751188481663
1966-03-01 06:00:00,0,0001,-0.002841917168344557,88.09943221868126
1966-04-01 06:00:00,0,0001,-0.0015541023910519592,46.623071731558774
1966-05-01 06:00:00,0,0001,-0.0006686385171617966,20.727794032015698
1966-06-01 06:00:00,0,0001,-0.0005156974700380943,15.470924101142831
1966-07-01 06:00:00,0,0001,-0.0004104081581265806,12.722652901923999
1966-08-01 06:00:00,0,0001,-0.0005312976379543123,16.470226776583683
1966-09-01 06:00:00,0,0001,-0.0007438428186343181,22.315284559029543
1966-10-01 06:00:00,0,0001,-0.0015832806882313695,49.08170133517246
1966-11-01 06:00:00,0,0001,-0.0026003284918228054,78.00985475468417
1966-12-01 06:00:00,0,0001,-0.003373612893930028,104.58199971183086
1967-01-01 06:00:00,0,0001,-0.0031545515673446164,97.79109858768311
1967-02-01 06:00:00,0,0001,-0.003442071349599973,96.37799778879925
1967-03-01 06:00:00,0,0001,-0.0031333294575377584,97.1332131836705
1967-04-01 06:00:00,0,0001,-0.0024705721672587653,74.11716501776296
1967-05-01 06:00:00,0,0001,-0.0011776573164359381,36.507376809514085
1967-06-01 06:00:00,0,0001,-0.0007639660923664223,22.91898277099267
1967-07-01 06:00:00,0,0001,-0.0005247854276484263,16.268348257101213
1967-08-01 06:00:00,0,0001,-0.0006677817572501019,20.70123447475316
1967-09-01 06:00:00,0,0001,-0.0011603791763531012,34.811375290593034
1967-10-01 06:00:00,0,0001,-0.001373829555356423,42.588716216049114
1967-11-01 06:00:00,0,0001,-0.0014663146888072248,43.989440664216744
1967-12-01 06:00:00,0,0001,-0.003329961033311724,103.22879203266343
1968-01-01 06:00:00,0,0001,-0.003706182079397565,114.89164446132452
1968-02-01 06:00:00,0,0001,-0.00357724062475353,103.73997811785236
1968-03-01 06:00:00,0,0001,-0.0034735309513874535,107.67945949301105
1968-04-01 06:00:00,0,0001,-0.002410777684081397,72.3233305224419
1968-05-01 06:00:00,0,0001,-0.0013002398570893573,40.30743556977007
1968-06-01 06:00:00,0,0001,-0.0007271312958309175,21.813938874927523
1968-07-01 06:00:00,0,0001,-0.0005140270219316767,15.934837679881978
1968-08-01 06:00:00,0,0001,-0.0006231420217754362,19.317402675038522
1968-09-01 06:00:00,0,0001,-0.0008300606845685175,24.901820537055528
1968-10-01 06:00:00,0,0001,-0.0015424267340001091,47.815228754003385
1968-11-01 06:00:00,0,0001,-0.0028486895990559964,85.4606879716799
1968-12-01 06:00:00,0,0001,-0.0034312652499868253,106.36922274959159
1969-01-01 06:00:00,0,0001,-0.003520769213066393,109.14384560505819
1969-02-01 06:00:00,0,0001,-0.0037330525903557462,104.5254725299609
1969-03-01 06:00:00,0,0001,-0.003223315242180514,99.92277250759594
1969-04-01 06:00:00,0,0001,-0.001771891027754353,53.156730832630586
1969-05-01 06:00:00,0,0001,-0.0007499474533661855,23.24837105435175
1969-06-01 06:00:00,0,0001,-0.0005616345172060321,16.849035516180965
